year,id,title,org,keyword,field
99,2015508,關懷災民科普活動---台東地區八八災區原住民重點學校創意科學體驗實作巡迴服務,國立臺東大學教育學系（所）,科學創意教學；教師專業發展；移動學習館,科學教育
99,2016009,閱讀研究議題八---全民閱讀調查---參與棒球隊對國中小學童讀寫能力之影響-以台東縣為例,國立臺東大學特殊教育學系,國小學生運動員；棒球隊；讀寫能力,教育學
99,2015961,關懷災民科普活動---台東88水災受災國小學生的心理重建與環境教育,國立臺東大學教育學系（所）,88 水災；受災學童；心理復建；環境教育,"科學教育,心理學"
99,2070544,台東蘇鐵復育研究(Ⅲ),農委會林業試驗所植物園組,生殖生物學；台東蘇鐵；遺傳結構；物候學；種子儲藏；種子發芽,"生物技術(農),林業"
99,2069480,良質米研究團隊---臺東地區優質及抗(耐)逆境水稻育種及栽培技術改良,農委會台東區農業改良場,稻熱病；水稻；育種；徒長病；施肥；分子標誌輔助選種,"生物技術(農),農藝"
99,2086585,農產品安全先期評估技術之開發在台東地區之應用,農委會台東區農業改良場作物環境課,土壤資料庫；臺東地區；土壤及植體採樣技術,農業化學
99,2091086,台東縣卑南鄉高頂山休閒農業區發展策略之研究,農委會台東區農業改良場農業推廣課,發展策略；高頂山；休閒農業區,農業推廣
99,2089267,台東地區作物有害生物共同防治技術之應用,農委會台東區農業改良場作物環境課,東方果實蠅；區域防治；病蟲害防治；?類,植物保護
99,2091017,臺東區番荔枝產銷班參與產銷履歷意願之因素探討,農委會台東區農業改良場農業推廣課,番荔枝；產銷履歷制度；標準化,"農產運銷,園藝"
99,2092784,臺東地區經濟果樹栽培及採後處理技術改進,農委會台東區農業改良場,釋迦；鳳梨釋迦；貯藏；果實品質,園藝
99,2091885,良質米研究團隊---臺東地區水稻重要病蟲害防治技術之研發,農委會台東區農業改良場作物環境課,胡麻葉枯病；稻熱病；徒長病,植物保護
99,2092745,影響臺東區農村婦女終身學習因素之探討,農委會台東區農業改良場農業推廣課,終身學習；原住民；農村婦女,"農業推廣,農業經濟"
99,2089387,臺東藥用蕨類栽培技術之研究,農委會台東區農業改良場作物改良課,栽培；繁殖；蕨類,農藝
99,2108386,台東縣八八水災整合災害防治、人文關懷及社區重建之參與式行動研究---環境與災害因素關聯性暨安全社區之規劃研究(I),國立臺東大學資訊管理學系,道路系統；地理資訊系統；孤島,"防災工程,社會學"
99,2115267,台東縣八八水災整合災害防治、人文關懷及社區重建之參與式行動研究(I),國立臺東大學生命科學系,人際關係；參與式行動研究；社區營造員；原住民,"防災工程,社會學"
