file_year,title,school,dept,author,url
102,台灣原住民檳榔文化與健康議題之探討:以台東的達魯瑪克、拉勞蘭、石坑部落為例,國立臺東大學,生命科學系碩士班,李彥廷,https://hdl.handle.net/11296/9sqs49
102,臺東縣國小高年級學童人格特質、同儕關係與校園受霸凌行為之相關性研究,國立臺東大學,進修部教育行政碩士班(夜間),廖裕正,https://hdl.handle.net/11296/55f5qw
102,台東縣國中校長多元架構領導、學校組織文化與教師組織承諾之關係,國立臺東大學,進修部教育行政碩士班(夜間),林姿葶,https://hdl.handle.net/11296/u5ss5x
102,競爭優勢策略分析之應用－以臺東縣農會東遊季溫泉渡假村為例,國立臺東大學,文化資源與休閒產業學系碩士班,陳湘湄,https://hdl.handle.net/11296/bpwnfv
102,教師協助音樂性社團組訓之研究教師協助音樂性社團組訓之研究-以台東縣六位教師為例,國立臺東大學,進修部教育行政碩士班(夜間),阮士恩,https://hdl.handle.net/11296/q654zt
102,臺東縣高砂義勇隊一位倖存者的生命史,國立臺東大學,公共與文化事務學系南島文化研究碩士班,林哲次,https://hdl.handle.net/11296/7sznj4
102,公部門非典型人力派遣人員工作壓力與工作滿意度之研究-以台東縣政府為例,國立臺東大學,進修部公共與文化事務碩士專班(假日),黃俊銘,https://hdl.handle.net/11296/8m6nny
102,青年會的現在與未來：傳統部落青年會組織變革之研究─以臺東縣太麻里鄉Tjavalji部落青年會為例,國立臺東大學,進修部公共與文化事務碩士專班(假日),李宗哲,https://hdl.handle.net/11296/jh8rfc
102,臺東縣青少棒球員外流因素之研究,國立臺東大學,體育學系碩士班,葉明嘉,https://hdl.handle.net/11296/8w76kd
102,台東縣國小特教班學生家長參與學校教育之研究,國立臺東大學,特殊教育學系碩士班,趙惠玲,https://hdl.handle.net/11296/74697n
102,臺東縣中小學教師休閒參與對心理幸福影響之研究,國立臺東大學,體育學系碩士班,林宜徵,https://hdl.handle.net/11296/aj4zcp
102,台東福佬客家通婚的家庭語言政策與語言保存,國立臺東大學,華語文學系碩士班,賴佳珍,https://hdl.handle.net/11296/6ake27
